packsize,price,price_per_unit,product_image,product_title
475ml,"$4.,99",$1.05 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_8_4f548ce5ec.jpg,"
					Kenny’s Frozen Dessert 475ml 
				"
ea,"$1.,49",$4.97 per 100g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg,"
					Essential Health Protein Bar 30g 
				"
51g-57g,"$2.,99",$5.86-$5.25 per 100g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2853_HEALTH_1x1_228x128_3_2bdeaaea03.jpg,"
					Onset Chocolate Protein Bars 51g-57g 
				"
,"$10.,99",$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_2_528fdaf309.jpg,"
					LACURA, Skin Science Renew Expert Night Cream SPF 15 50ml,   
				"
,"$1.,69",6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/f/8/csm_ALC7782_THE_BLOCK_1x1_228x128_49_b2fd8e8bc4.jpg,"
					LACURA, Essentials Renew Cleansing Wipes 30pk        
				"
,"$10.,99",$36.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_3_143a22473a.jpg,"
					LACURA, Skin Science Revive Hyaluronic Gel 30ml 
				"
,"$10.,99",$36.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_4_c9cee72591.jpg,"
					LACURA, Skin Science Revive Night Elixir 30ml,   
				"
,"$10.,99",$73.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/5/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_42_6f40505af1.jpg,"
					LACURA, Skin Science Revive Moisture Boost 15ml 
				"
,"$10.,99",$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_11R_1ab1f158f5.jpg,"
					LACURA, Skin Science Revitalise Expert Day Cream 50ml 
				"
,"$10.,99",$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/2/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_12_2d6de1ed9e.jpg,"
					LACURA, Skin Science Revitalise Expert Neck & Décolleté Serum 50ml 
				"
,"$10.,99",$73.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_13_ce5f78dd18.jpg,"
					LACURA, Skin Science Revitalise Expert Eye Cream 15ml 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_6_19bbb35ab4.jpg,"
					LACURA, Skin Science Revitalise Day Cream with Soy for Mature Skin 50ml 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_8_e00377d4f7.jpg,"
					LACURA, Skin Science Revitalise Night Cream with Soy for Mature Skin 50ml 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/e/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_7_34e3505580.jpg,"
					LACURA, Skin Science Revitalise Multi Intensive Serum for Mature Skin 50ml 
				"
,"$1.,69",6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7782_THE_BLOCK_1x1_228x128_48_bd33cd66a1.jpg,"
					LACURA, Essentials Revitalise Cleansing Wipes 30pk      
				"
,"$5.,99",$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_25_76e9bdcba0.jpg,"
					LACURA, Naturals Revitalising Facial Foaming Cleanser 150ml,   
				"
,"$5.,99",$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_26_20d4d20ddc.jpg,"
					LACURA, Naturals Pore Cleansing Clarifying Facial Scrub 150ml,   
				"
,"$5.,99",$3.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_27_6a0455746a.jpg,"
					LACURA, Naturals Invigorating Exfoliating Facial Scrub 150ml,   
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_24_785043bbbe.jpg,"
					LACURA, Naturals Anti-Aging Day Cream with Liquorice Extract Oil & Silk Protein 50ml   
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_23_5dcf16da94.jpg,"
					LACURA, Naturals Anti-Aging Night Cream with Rice Bran Oil & Silk Protein 50ml    
				"
,"$7.,99",$26.63 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_21_d392e88049.jpg,"
					LACURA, Naturals Anti-Aging Serum with Ginger Extract & Silk Protein 30ml     
				"
,"$7.,99",$53.27 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_22_728b0243c5.jpg,"
					LACURA, Naturals Anti-Aging Eye Cream with Tiger Grass & Silk Protein 15ml      
				"
ea,"$6.,99",,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_18_4e99e30afa.jpg,"
					LACURA, Beauty Long Lasting Duo Lipstick    
				"
,"$5.,99",$5.99 per 10g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_19_69f5f9923e.jpg,"
					LACURA, Beauty Long Lasting Compact Powder 10g   
				"
,"$5.,99",$13.31 per 10g,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_20_3668aae7b3.jpg,"
					LACURA, Beauty Long Lasting Compact Blush 4.5g        
				"
,"$4.,99",$1.00 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_7_db9bfbdea3.jpg,"
					LACURA,Beauty Foundation with Sunscreen   
				"
,"$4.,99",$1.00 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_6_c0b1a8d162.jpg,"
					LACURA,Beauty Face Primer 3 in 1    
				"
ea $,"$6.,99",$5.87-$6.03 per 10ml,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_4_1e124933e1.jpg,"
					LACURA, Beauty 24hr Mascara – Waterproof 11.6ml or Volume 11.9ml  
				"
0.3g,"$4.,99",$166.33 per 10g,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2362_Retractable_Eyeliner_or_Eyebrow_Pencil_0.3g_1x1_228x128__d6c4e2abe1.jpg,"
					LACURA® Retractable Eyeliner or Eyebrow Pencil 0.3g 
				"
